incident_date,county_name,crime_type,incident_count,cleared_count,population,crime_rate_per_100k,clearance_rate
2020-01-01,Cook,Violent Crime,33694,11220,5173363,651.2978115009521,0.3329969727547931
2020-01-01,Cook,Property Crime,78852,14902,5173363,1524.192290392149,0.18898696291787145
2020-01-01,Cook,Burglary,22196,6664,5173363,429.04393138467185,0.30023427644620654
2020-01-01,Cook,Larceny-Theft,56413,22140,5173363,1090.4512209949312,0.39246273022175737
2020-01-01,Cook,Motor Vehicle Theft,17022,3327,5173363,329.03161831095167,0.1954529432499119
2020-01-01,Cook,Aggravated Assault,27962,7862,5173363,540.4994778058295,0.28116729847650385
2020-01-01,Cook,Robbery,11233,3403,5173363,217.13148681041713,0.3029466749755186
2020-01-01,Cook,Rape,5534,1336,5173363,106.97103605527005,0.24141669678352007
2020-02-01,Cook,Violent Crime,35867,7170,5173363,693.3014366090297,0.1999052053419578
2020-02-01,Cook,Property Crime,83755,13535,5173363,1618.966231443647,0.1616022924004537
2020-02-01,Cook,Burglary,23974,3985,5173363,463.4122909991044,0.1662217402185701
2020-02-01,Cook,Larceny-Theft,60057,10475,5173363,1160.8889613970643,0.17441763657858367
2020-02-01,Cook,Motor Vehicle Theft,18017,3252,5173363,348.2647554405133,0.180496198035189
2020-02-01,Cook,Aggravated Assault,29906,11284,5173363,578.0765819061991,0.3773155888450478
2020-02-01,Cook,Robbery,11884,2708,5173363,229.71517753538657,0.2278694042409963
2020-02-01,Cook,Rape,5986,1174,5173363,115.70809935432715,0.19612429001002338
2020-03-01,Cook,Violent Crime,39199,11739,5173363,757.7082837604862,0.29947192530421696
2020-03-01,Cook,Property Crime,91059,18120,5173363,1760.1509888248709,0.1989918624188713
2020-03-01,Cook,Burglary,25479,6297,5173363,492.50361901919507,0.24714470740609915
2020-03-01,Cook,Larceny-Theft,64493,15425,5173363,1246.635892358607,0.2391732436078334
2020-03-01,Cook,Motor Vehicle Theft,19309,3576,5173363,373.23883902985347,0.1851986120461961
2020-03-01,Cook,Aggravated Assault,32506,12895,5173363,628.3340256618374,0.39669599458561494
2020-03-01,Cook,Robbery,13029,1972,5173363,251.84778257392725,0.151354670350756
2020-03-01,Cook,Rape,6548,2175,5173363,126.57143911996897,0.33216249236408063
2020-04-01,Cook,Violent Crime,41881,10035,5173363,809.5507699730331,0.23960745922972232
2020-04-01,Cook,Property Crime,96891,29631,5173363,1872.8823011259794,0.30581787782146946
2020-04-01,Cook,Burglary,27725,6314,5173363,535.9183185096426,0.22773669972948601
2020-04-01,Cook,Larceny-Theft,69382,21466,5173363,1341.1392164052668,0.30938860223112624
2020-04-01,Cook,Motor Vehicle Theft,21059,3788,5173363,407.06596463461,0.17987558763474049
2020-04-01,Cook,Aggravated Assault,34877,10125,5173363,674.1649484097675,0.2903059322762852
2020-04-01,Cook,Robbery,14002,3930,5173363,270.6556644101719,0.28067418940151406
2020-04-01,Cook,Rape,6935,1227,5173363,134.05206632513512,0.17692862292718098
2020-05-01,Cook,Violent Crime,43726,16479,5173363,845.2142252534763,0.37686959703608836
2020-05-01,Cook,Property Crime,102051,34583,5173363,1972.6239971948614,0.33887957981793415
2020-05-01,Cook,Burglary,29084,6469,5173363,562.1874977649935,0.22242470086645577
2020-05-01,Cook,Larceny-Theft,72764,25615,5173363,1406.5125528597162,0.352028475619812
2020-05-01,Cook,Motor Vehicle Theft,21977,7712,5173363,424.81070823756227,0.35091231742276013
2020-05-01,Cook,Aggravated Assault,36342,10351,5173363,702.4830849874637,0.2848219690715976
2020-05-01,Cook,Robbery,14732,3381,5173363,284.76640823387027,0.22950040727667662
2020-05-01,Cook,Rape,7184,1844,5173363,138.86518305404047,0.2566815144766147
2020-06-01,Cook,Violent Crime,44837,6803,5173363,866.6896175659817,0.15172736802194617
